ID,Easting,Northing
1435,833393,815920
1438,834010,815740
1439,834176,815662
1441,834294,816141
1448,836792,814133
1449,836553,814131
1450,836199,814432
1451,836101,814560
1452,835543,814330
1453,835502,814553
1454,834820,814289
1455,834811,814115
1456,834821,814068
1457,834763,814212
1459,833907,814110
1461,833638,814250
1462,833480,814604
1466,834822,814379
1467,835164,814529
1468,835456,814697
1469,835610,814349
1470,835932,814515
1471,836307,814372
1472,836771,814156
1473,836995,814122
1475,835577,815236
1476,834418,812356
1479,833486,811721
1481,833183,811745
1486,831918,813804
1487,831572,815687
1489,832460,816341
1499,833618,816545
1503,837994,815684
1504,836639,815566
1507,833259,816311
1508,833353,816281
1509,833523,816142
1510,833622,816120
1511,833784,816022
1512,834366,815759
1513,837991,815543
1515,840614,816360
1535,837141,813851
1536,837950,813196
1537,837569,811111
1538,837540,811382
1539,837741,811917
1540,837784,812313
1544,837185,813812
1545,837072,813940
1546,843904,814144
1549,842655,813834
1551,843304,814127
1552,843708,813868
1553,842199,813952
1557,843393,814216
1559,838722,816854
1560,842212,813784
1563,842541,814335
1565,842883,814404
1567,834054,812273
1568,843832,813877
1574,834286,816254
1581,833808,816447
1701,844893,818993
1702,845093,818788
1703,843989,818656
1704,844550,818556
1705,845084,818757
1706,844551,818591
1707,844828,818695
3000,841154,816213
3001,841261,815717
3002,841986,814941
3004,841525,813216
3005,840843,811960
3007,841026,810742
3008,840035,809475
3009,840049,808766
3011,840089,807497
3015,840853,811271
3016,840834,811982
3018,834469,815430
3019,839245,816983
3021,837104,815954
3022,835936,815744
3023,835750,815729
3024,833480,816534
3025,831305,815975
3027,831275,816180
3028,831518,816175
3030,834236,816007
3033,837497,815654
3034,836780,815623
3036,837063,814802
3038,837300,814331
3039,837503,814043
3040,837612,813936
3041,837548,813820
3043,837550,813827
3044,837487,813958
3045,837490,814084
3061,836125,815432
3066,837850,816123
3067,837956,816081
3068,838070,816363
3078,838104,816217
3080,838896,816638
3081,838760,816584
3082,838576,816532
3083,838413,816571
3084,838219,816462
3085,841020,815440
3089,841402,815457
3091,837344,811271
3094,839034,809452
3095,839145,808820
3096,839146,808692
3097,839173,808618
3098,839188,808734
3100,839212,809139
3104,839314,808763
3106,839180,808602
3108,838965,809414
3109,838735,810568
3110,838445,811035
3112,837335,811245
3113,837422,811753
3114,837267,811879
3116,832064,816082
3124,838057,815322
3131,836440,815522
3134,833132,811621
3135,834303,811576
3138,839999,808868
3142,835142,812168
3144,833996,812177
3149,841802,815214
3150,841770,813056
3152,842443,811645
3153,842755,809807
3154,843468,810207
3156,843537,810483
3159,843699,810711
3160,843912,810227
3161,843685,810738
3163,843642,810907
3167,842734,809792
3168,842301,811705
3171,841581,813147
3172,836386,815664
3173,835659,815580
3174,838133,816022
3178,837873,816081
3184,832442,813012
3185,831692,815899
3186,831351,815172
3187,831175,815070
3188,830894,814924
3189,830594,814839
3190,830391,814947
3191,830295,815002
3192,830459,814938
3193,830635,814861
3195,831284,815120
3196,832468,816552
3198,835352,812303
3200,833469,812485
3202,835192,812055
3214,836819,815847
3216,837211,815526
3217,838174,815245
3225,840472,808538
3226,837585,811022
3235,837614,814438
3236,837814,814898
3238,837958,815218
3242,842034,813942
3244,842053,813728
3245,842010,813601
3246,842280,813677
3247,842350,814107
3248,842273,814184
3251,835554,815481
3253,842128,814225
3255,842204,814100
3256,842332,814041
3257,842401,813961
3259,841970,813579
3262,838060,815470
3263,839474,816971
3268,841421,815456
3269,841860,813501
3273,833965,816501
3274,839485,817019
4001,837872,822918
4002,837621,822886
4003,837391,822793
4004,837557,822294
4005,837610,822082
4006,837768,821807
4008,837429,821474
4009,837323,821247
4010,837314,820996
4011,836922,820832
4012,836646,820780
4013,836274,820709
4014,836023,820663
4015,835862,820632
4016,835546,820571
4018,835575,819670
4020,835673,819142
4021,835724,818641
4022,835745,818381
4024,835805,817437
4025,835463,817244
4027,835722,818411
4028,835680,818887
4030,835549,819694
4032,835679,820306
4033,835641,820500
4034,835494,820650
4035,835880,820865
4037,837170,820922
4038,837248,821031
4039,837258,821296
4040,837512,821490
4043,837545,822344
4047,835496,820089
4048,835550,819804
4049,835717,818717
4050,835763,817761
4051,835737,818208
4052,835706,818604
4053,835592,819470
4055,836702,820901
4056,841889,819985
4059,842048,819619
4060,841730,819960
4061,841486,820053
4062,841398,819773
4067,840123,820341
4072,838333,821450
4074,837486,820926
4076,835756,817895
4077,836322,820884
4078,836858,820908
4079,837455,820954
4081,838311,821551
4082,838497,821653
4084,839771,821241
4087,840328,819724
4088,840835,819501
4089,841215,819351
4090,841339,819674
4091,841559,820139
4092,841710,819994
4093,841908,819788
4094,842133,819544
4097,834395,822422
4098,834616,822235
4099,834499,821997
4101,834744,821529
