ROUTE_ID,COMPANY_CODE,DISTRICT,ROUTE_NAMEC,ROUTE_NAMES,ROUTE_NAMEE,ROUTE_TYPE,SERVICE_MODE,SPECIAL_TYPE,JOURNEY_TIME,LOC_START_NAMEC,LOC_START_NAMES,LOC_START_NAMEE,LOC_END_NAMEC,LOC_END_NAMES,LOC_END_NAMEE,HYPERLINK_C,HYPERLINK_S,HYPERLINK_E,FULL_FARE,LAST_UPDATE_DATE
1000322,"KMB",,"74R","74R","74R",1,"T",1,4.8000000000000000e+01,"大埔(太和)","大埔(太和)","TAI PO (TAI WO)","北潭涌","北潭涌","PAK TAM CHUNG","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=74R&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=74R&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=74R&lang=en",25.6000,"06/18/23 00:00:00"
1000330,"KMB",,"W2","W2","W2",1,"T",1,3.3000000000000000e+01,"佐敦(西九龍站)","佐敦(西九龙站)","JORDAN (WEST KOWLOON STATION)","麗港公園","丽港公园","LAGUNA PARK","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=W2&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=W2&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=W2&lang=en",6.4000,"06/18/23 00:00:00"
1000331,"KMB",,"W2","W2","W2",1,"T",1,3.0000000000000000e+01,"創紀之城","创纪之城","MILLENNIUM CITY","佐敦(西九龍站)","佐敦(西九龙站)","JORDAN (WEST KOWLOON STATION)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=W2&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=W2&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=W2&lang=en",6.4000,"06/18/23 00:00:00"
1000332,"KMB",,"68X","68X","68X",1,"T",1,5.8000000000000000e+01,"朗屏邨悅屏樓","朗屏邨悦屏楼","YUET PING HOUSE LONG PING ESTATE","旺角(柏景灣)","旺角(柏景湾)","MONG KOK (PARK AVENUE)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=68X&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=68X&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=68X&lang=en",16.2000,"01/02/25 00:00:00"
1000333,"KMB",,"268X","268X","268X",1,"T",1,5.3000000000000000e+01,"朗屏邨悅屏樓","朗屏邨悦屏楼","YUET PING HOUSE LONG PING ESTATE","佐敦(西九龍站)","佐敦(西九龙站)","JORDAN (WEST KOWLOON STATION)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=268X&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=268X&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=268X&lang=en",16.2000,"01/02/25 00:00:00"
1000334,"KMB",,"203C","203C","203C",1,"R",0,4.4000000000000000e+01,"深水埗(大坑東)","深水埗(大坑东)","SHAM SHUI PO (TAI HANG TUNG)","尖沙咀東(麼地道)","尖沙咀东(麽地道)","TSIM SHA TSUI EAST (MODY ROAD)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=203C&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=203C&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=203C&lang=en",5.6000,"10/06/23 00:00:00"
1000342,"KMB",,"64K","64K","64K",1,"T",1,3.6000000000000000e+01,"上村球場","上村球场","SHEUNG TSUEN PLAYGROUND","元朗(西)","元朗(西)","YUEN LONG (WEST)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=64K&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=64K&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=64K&lang=en",6.7000,"09/27/24 00:00:00"
1000344,"CTB",,"20","20","20",1,"T",1,4.6000000000000000e+01,"長沙灣(海達)","长沙湾(海达)","Cheung Sha Wan (Hoi Tat)","啟德(沐安街)(不停廣東道)","启德(沐安街)(不停广东道)","Kai Tak (Muk Ning Street) (omit Canton Road)","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=20&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=20&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=20&dsmode=1&l=1",6.4000,"12/13/24 00:00:00"
1000345,"CTB",,"5X","5X","5X",1,"T",1,4.9000000000000000e+01,"銅鑼灣(威非路道)","铜锣湾(威非路道)","Causeway Bay (Whitfield Road)","堅尼地城","坚尼地城","Kennedy Town","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=5X&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=5X&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=5X&dsmode=1&l=1",6.1000,"06/18/23 00:00:00"
1000346,"CTB",,"5X","5X","5X",1,"T",1,5.1000000000000000e+01,"銅鑼灣(威非路道)","铜锣湾(威非路道)","Causeway Bay (Whitfield Road)","堅尼地城(不經雪廠街)","坚尼地城(不经雪厂街)","Kennedy Town (omit Ice House Street)","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=5X&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=5X&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=5X&dsmode=1&l=1",6.1000,"06/18/23 00:00:00"
