ID,Easting,Northing,Latitude(DDD.DDDD),Longitude(DDD.DDDD)
236,836501,815449,22.277904394,114.179135170
237,836801,815358,22.277082538,114.182046070
238,837047,815413,22.277579129,114.184433047
240,834528,816347,22.286013048,114.159989977
241,834511,816209,22.284766804,114.159825166
244,834570,815420,22.277641690,114.160398509
245,834272,815291,22.276476420,114.157507150
246,833932,815614,22.279392890,114.154207660
247,833693,815831,22.281352199,114.151888246
248,833436,816000,22.282877974,114.149394190
249,833286,816027,22.283121548,114.147938623
250,833382,815997,22.282850792,114.148870210
252,833572,815779,22.280882421,114.150714229
253,833835,815532,22.278652244,114.153266573
254,834007,815242,22.276033592,114.154935923
255,834292,815406,22.277514966,114.157701069
256,834495,815491,22.278282791,114.159670700
257,834437,815669,22.279890184,114.159107716
258,834268,815892,22.281903829,114.157467591
259,834501,816238,22.285028682,114.159728098
261,834125,815841,22.281443095,114.156080076
262,833930,815954,22.282463304,114.154187759
263,833939,815896,22.281939539,114.154275174
264,833971,815683,22.280016056,114.154585986
265,832968,816215,22.284818729,114.144852537
266,832905,816142,22.284159371,114.144241364
267,832829,816113,22.283897333,114.143503958
268,832983,816170,22.284412379,114.144998182
269,833170,815966,22.282570475,114.146813139
270,833244,815926,22.282209381,114.147531268
271,833558,815744,22.280566327,114.150578442
274,835989,816137,22.284117467,114.174167064
276,836751,815638,22.279611132,114.181561003
277,837142,815686,22.280044448,114.185354989
279,837660,815504,22.278400530,114.190381114
280,837992,815357,22.277072725,114.193602397
282,838031,815887,22.281858923,114.193981400
283,838143,816113,22.283899728,114.195068442
284,838095,816208,22.284757690,114.194602782
285,838228,816499,22.287385457,114.195893714
286,838437,816583,22.288143779,114.197921913
287,838660,816583,22.288143484,114.200085862
288,838908,816647,22.288721081,114.202492512
289,838612,816266,22.285280840,114.199619615
291,838599,816248,22.285118306,114.199493442
292,838548,816462,22.287050930,114.198998863
293,838382,816481,22.287222724,114.197388069
294,838321,816399,22.286482286,114.196796035
295,838234,816214,22.284811721,114.195951586
296,838179,816503,22.287421635,114.195418235
297,837735,816061,22.283430532,114.191109360
300,837994,815807,22.281136510,114.193622288
301,837997,815555,22.278860786,114.193651126
304,837697,815460,22.278003151,114.190740091
306,832399,813206,22.257644334,114.139338441
307,832242,813359,22.259025667,114.137814891
308,832243,813018,22.255946214,114.137825446
309,832551,812615,22.252307545,114.140814465
310,833337,812297,22.249437303,114.148440295
312,834349,812084,22.247515188,114.158258102
313,834784,812219,22.248734756,114.162477916
315,836149,812357,22.249981618,114.175719897
316,836617,815262,22.276215644,114.180260689
318,835455,815421,22.277651363,114.168985738
319,834749,815623,22.279475077,114.162135170
320,834090,816113,22.283899384,114.155740090
321,833903,816159,22.284314547,114.153925465
322,833627,816174,22.284449606,114.151247262
323,833405,816344,22.285984460,114.149092771
324,833015,816415,22.286624944,114.145308200
325,832755,816438,22.286832139,114.142785187
326,832628,816446,22.286904121,114.141552797
327,832463,816288,22.285476926,114.139952057
328,832016,816082,22.283615573,114.135615083
329,831785,816096,22.283741417,114.133373536
330,831678,815866,22.281664090,114.132335919
331,831554,815489,22.278259207,114.131133808
332,831467,814960,22.273481759,114.130291217
334,831503,814533,22.269625773,114.130641783
335,831695,814234,22.266926128,114.132505519
336,831822,813949,22.264352724,114.133738505
337,832020,813745,22.262510969,114.135660072
338,832109,813547,22.260723116,114.136524066
340,832308,812997,22.255756720,114.138456101
341,832074,813525,22.260524356,114.136184556
343,831776,813980,22.264632555,114.133292119
344,831639,814277,22.267314297,114.131962064
345,831507,814463,22.268993639,114.130680801
346,831426,815011,22.273942207,114.129893249
347,831534,815497,22.278331397,114.130939722
348,831673,815920,22.282151731,114.132287248
349,831743,816083,22.283623909,114.132966026
350,831934,816163,22.284346850,114.134819178
351,832308,816266,22.285277903,114.138448049
